"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"HIF-1i","LFM-A13","HIFa","BTK, Plk",0,-0.576765916672163,30,90
"HIF-1i","LSN415169","HIFa","gamma secretase",0,-0.576765916672163,30,84
"HIF-1i","NVP-TAE684","HIFa","ALK",0,-0.715676933983988,30,40
"HIF-1i","PIM-1 4a","HIFa","PIM",0,-0.576765916672163,30,36
"HIF-1i","TCS401","HIFa","PTP-1B",0,-0.576765916672163,30,107
"HIF-1i","vasastrol","HIFa","KSP (Eg5, kinesin-5)",0,-0.579126505379612,30,67
"IMD0354","AS252424","IKK","PI3K (gamma)",0,-0.655022389030782,108,62
"IMD0354","BMS536924","IKK","Multi (IGFR1R, InR, FAK)",0,-0.655022389030782,108,44
"IMD0354","C75","IKK","Fatty Acid Synthase",0,-0.655022389030782,108,47
"IMD0354","CP690550","IKK","JAK3",0,-0.655022389030782,108,70
"IMD0354","CX4945","IKK","CK2a",0,-0.802363310480867,108,49
"IMD0354","Crizotinib/PF2341066","IKK","Multi (c-kit, ALK, MET)",0,-0.655022389030782,108,103
"IMD0354","Darinaparsin","IKK","arsenic",0,-0.655022389030782,108,60
"IMD0354","Docetaxel","IKK","microtubule agent (taxane)",0,-1.10500233694345,108,10
"IMD0354","Dorsomorphin","IKK","AMPK/BMP antagonist",0,-0.655022389030782,108,39
"IMD0354","ENMD2076","IKK","Aurora A, FLT3, c-KIT, FGFR1/3",0,-0.655022389030782,108,106
"IMD0354","Embelin","IKK","XIAP",0,-0.66281624732403,108,25
"IMD0354","GSK0660","IKK","PPARd, ant",0,-0.655022389030782,108,68
"IMD0354","GSK650394","IKK","SGK",0,-0.655022389030782,108,94
"IMD0354","GW441756","IKK","TrkA",0,-0.655022389030782,108,82
"IMD0354","GW9662","IKK","PPARg",0,-0.655022389030782,108,58
"IMD0354","HIF-1i","IKK","HIFa",0,-0.655022389030782,108,30
"IMD0354","Indole-3-carbinol","IKK","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",0,-0.655022389030782,108,89
"IMD0354","JNK5a","IKK","JNK",0,-0.655022389030782,108,86
"IMD0354","JZL184","IKK","MAGL",0,-0.655022389030782,108,33
"IMD0354","KU0063794","IKK","mTOR kinase",0,-0.655022389030782,108,83
"IMD0354","KU55933","IKK","ATM",0,-0.655022389030782,108,46
"IMD0354","L779450","IKK","Raf",0,-0.669127045821852,108,51
"IMD0354","LFM-A13","IKK","BTK, Plk",0,-0.655022389030782,108,90
"IMD0354","LSN415169","IKK","gamma secretase",0,-0.655022389030782,108,84
"IMD0354","Lestaurtinib","IKK","Multi (Flt2, TrkA, RET, JAK2)",0,-0.655022389030782,108,101
"IMD0354","MK1775","IKK","Wee-1",0,-0.655022389030782,108,37
"IMD0354","Midostaurin/PKC412","IKK","Multi (FLT3, KIT, etc., broad spectrum)",0,-0.792119284064938,108,15
"IMD0354","NVP-BEZ235","IKK","PI3K/TORC1/TORC2 dual specificity",0,-0.655022389030782,108,78
"IMD0354","NVP-TAE684","IKK","ALK",0,-0.715676933983988,108,40
"IMD0354","Nutlin-3","IKK","MDM2/p53",0,-0.655022389030782,108,95
"IMD0354","PD173074","IKK","FGFR1/3",0,-0.655022389030782,108,91
"IMD0354","PF04217903","IKK","MET",0,-0.655022389030782,108,87
"IMD0354","PF562271","IKK","FAK1/2",0,-0.727355811461322,108,64
"IMD0354","PLX4720","IKK","Raf (BRafV600E)",0,-0.655022389030782,108,79
"IMD0354","Pazopanib","IKK","Multi (VEGFR2, FLT1, FLT4)",0,-0.655022389030782,108,102
"IMD0354","Perifosine","IKK","Akt/PI3K",0,-0.655022389030782,108,24
"IMD0354","QS11","IKK","ARFGAP",0,-0.785833620200815,108,28
"IMD0354","SNS-032","IKK","CDK2/7/9",0,-0.655022389030782,108,38
"IMD0354","SNS314","IKK","Aurora (pan)",0,-0.720665162247356,108,55
"IMD0354","TCS401","IKK","PTP-1B",0,-0.655022389030782,108,107
"IMD0354","Tanespimycin/17-AAG","IKK","HSP90",0,-1.14802052927585,108,19
"IMD0354","Tideglusib/TZDZ-8","IKK","GSK3",0,-0.655022389030782,108,80
"IMD0354","VX702","IKK","p38",0,-0.655022389030782,108,74
"IMD0354","Veliparib/ABT888","IKK","PARP",0,-0.655022389030782,108,81
"IMD0354","Vismodegib/GDC0449","IKK","Hh",0,-0.655022389030782,108,104
"IMD0354","XAV939","IKK","tankyrase 1/2",0,-0.655022389030782,108,97
"IMD0354","XL147","IKK","PI3K",0,-0.655022389030782,108,61
"IMD0354","YM155","IKK","survivin/BIRC5",0,-0.971240981170519,108,7
"IMD0354","cediranib/AZD2171","IKK","VEGFR (pan)",0,-0.655022389030782,108,73
"IMD0354","decitabine","IKK","methyl transferase inhibitor",0,-0.655022389030782,108,69
"IMD0354","gemcitabine","IKK","Antimetabolite (pyrimidine)",0,-0.655022389030782,108,50
"IMD0354","lenalidomide","IKK","TNFa",0,-0.655022389030782,108,98
"IMD0354","nilotinib","IKK","Multi (BCR-Abl, PDGFR, c-kit)",0,-0.655022389030782,108,66
"IMD0354","nilutamide","IKK","androgen receptor",0,-0.655022389030782,108,77
"IMD0354","temozolomide","IKK","alkylating agent (tetrazine)",0,-0.655022389030782,108,75
"IMD0354","tipifarnib","IKK","FTI",0,-0.655022389030782,108,72
"IMD0354","vasastrol","IKK","KSP (Eg5, kinesin-5)",0,-0.655022389030782,108,67
"IMD0354","vatalanib/PTK787","IKK","VEFGR (1-4), c-kit, PDGFb",0,-0.655022389030782,108,22
"IPA3","A769662","PAK","AMPK agonist",0,-0.546347723878603,88,76
"IPA3","AS252424","PAK","PI3K (gamma)",0,-0.546347723878603,88,62
"IPA3","AZD7762","PAK","Chk1/2",0,-0.546347723878603,88,27
"IPA3","BID1870","PAK","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.546347723878603,88,45
"IPA3","BMS536924","PAK","Multi (IGFR1R, InR, FAK)",0,-0.546347723878603,88,44
"IPA3","C75","PAK","Fatty Acid Synthase",0,-0.546347723878603,88,47
"IPA3","CP690550","PAK","JAK3",0,-0.546347723878603,88,70
"IPA3","Dorsomorphin","PAK","AMPK/BMP antagonist",0,-0.546347723878603,88,39
"IPA3","EX527","PAK","SIRT1",0,-0.546347723878603,88,100
"IPA3","Embelin","PAK","XIAP",0,-0.66281624732403,88,25
"IPA3","GW0742","PAK","PPARd, agonist",0,-0.546347723878603,88,63
"IPA3","GW2580","PAK","CSF1R/fms",0,-0.568090153959639,88,71
"IPA3","GW441756","PAK","TrkA",0,-0.546347723878603,88,82
"IPA3","GW9662","PAK","PPARg",0,-0.546347723878603,88,58
"IPA3","HIF-1i","PAK","HIFa",0,-0.576765916672163,88,30
"IPA3","JZL184","PAK","MAGL",0,-0.546347723878603,88,33
"IPA3","KU0063794","PAK","mTOR kinase",0,-0.546347723878603,88,83
"IPA3","L779450","PAK","Raf",0,-0.669127045821852,88,51
"IPA3","LFM-A13","PAK","BTK, Plk",0,-0.55612563086746,88,90
"IPA3","LSN415169","PAK","gamma secretase",0,-0.546347723878603,88,84
"IPA3","MK1775","PAK","Wee-1",0,-0.554311891721999,88,37
"IPA3","OSU03012","PAK","PDK1",0,-0.83385695498215,88,9
"IPA3","PD173074","PAK","FGFR1/3",0,-0.546347723878603,88,91
"IPA3","PF04217903","PAK","MET",0,-0.546347723878603,88,87
"IPA3","PIM-1 4a","PAK","PIM",0,-0.546347723878603,88,36
"IPA3","SNS-032","PAK","CDK2/7/9",0,-0.546347723878603,88,38
"IPA3","STA4783","PAK","HSP70 inducer",0,-1.30611950086795,88,6
"IPA3","SU6656","PAK","Lyn/Src/Fyn/Yes",0,-0.608619687998885,88,52
"IPA3","T0901317","PAK","LXR",0,-0.546347723878603,88,56
"IPA3","Tamatinib/R406","PAK","Syk",0,-0.723583474317687,88,17
"IPA3","Tie2i","PAK","TIE_2",0,-0.570361695650041,88,48
"IPA3","XAV939","PAK","tankyrase 1/2",0,-0.634161080241949,88,97
"IPA3","ZM336372","PAK","Raf (c-Raf)",0,-0.546347723878603,88,43
"IPA3","nilutamide","PAK","androgen receptor",0,-0.546347723878603,88,77
"IPA3","pioglitazone","PAK","PPARg, agonist",0,-0.546347723878603,88,53
"IPA3","tipifarnib","PAK","FTI",0,-0.546347723878603,88,72
"IPA3","vasastrol","PAK","KSP (Eg5, kinesin-5)",0,-0.579126505379612,88,67
"Indole-3-carbinol","A769662","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","AMPK agonist",0,-0.444135701916881,89,76
"Indole-3-carbinol","AZD7762","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Chk1/2",0,-0.52582413845089,89,27
"Indole-3-carbinol","C75","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Fatty Acid Synthase",0,-0.465026949113321,89,47
"Indole-3-carbinol","CHIR265","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Raf, VEGFR",0,-0.832256465467991,89,14
"Indole-3-carbinol","CP690550","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","JAK3",0,-0.525433461134538,89,70
"Indole-3-carbinol","Darinaparsin","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","arsenic",0,-0.380292121461321,89,60
"Indole-3-carbinol","Dorsomorphin","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","AMPK/BMP antagonist",0,-0.44354847586109,89,39
"Indole-3-carbinol","EX527","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","SIRT1",0,-0.498552331742665,89,100
"Indole-3-carbinol","GSK0660","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PPARd, ant",0,-0.457406294761294,89,68
"Indole-3-carbinol","GW0742","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PPARd, agonist",0,-0.511018322172174,89,63
"Indole-3-carbinol","GW441756","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","TrkA",0,-0.430389942531588,89,82
"Indole-3-carbinol","HIF-1i","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","HIFa",0,-0.576765916672163,89,30
"Indole-3-carbinol","IPA3","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PAK",0,-0.546347723878603,89,88
"Indole-3-carbinol","JNK5a","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","JNK",0,-0.372184047057148,89,86
"Indole-3-carbinol","JZL184","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","MAGL",0,-0.441619882947368,89,33
"Indole-3-carbinol","KU0063794","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","mTOR kinase",0,-0.388093315950455,89,83
"Indole-3-carbinol","KU55933","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","ATM",0,-0.44035055480519,89,46
"Indole-3-carbinol","L779450","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Raf",0,-0.669127045821852,89,51
"Indole-3-carbinol","LSN415169","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","gamma secretase",0,-0.498824910243877,89,84
"Indole-3-carbinol","MK1775","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Wee-1",0,-0.554311891721999,89,37
"Indole-3-carbinol","Midostaurin/PKC412","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Multi (FLT3, KIT, etc., broad spectrum)",0,-0.792119284064938,89,15
"Indole-3-carbinol","PD173074","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","FGFR1/3",0,-0.423726794540809,89,91
"Indole-3-carbinol","PF04217903","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","MET",0,-0.4126270895124,89,87
"Indole-3-carbinol","PIM-1 4a","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PIM",0,-0.369636990890989,89,36
"Indole-3-carbinol","QS11","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","ARFGAP",0,-0.785833620200815,89,28
"Indole-3-carbinol","SNS314","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Aurora (pan)",0,-0.720665162247356,89,55
"Indole-3-carbinol","SU6656","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Lyn/Src/Fyn/Yes",0,-0.608619687998885,89,52
"Indole-3-carbinol","SrcI1","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Src",0,-0.691722081855255,89,18
"Indole-3-carbinol","T0901317","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","LXR",0,-0.518870965006205,89,56
"Indole-3-carbinol","Tie2i","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","TIE_2",0,-0.570361695650041,89,48
"Indole-3-carbinol","Veliparib/ABT888","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PARP",0,-0.488781056987276,89,81
"Indole-3-carbinol","XAV939","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","tankyrase 1/2",0,-0.634161080241949,89,97
"Indole-3-carbinol","XL147","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PI3K",0,-0.486144212447261,89,61
"Indole-3-carbinol","ZM336372","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Raf (c-Raf)",0,-0.513750517648281,89,43
"Indole-3-carbinol","cediranib/AZD2171","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","VEGFR (pan)",0,-0.515637546685811,89,73
"Indole-3-carbinol","erlotinib","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","EGFR",0,-0.423349269119721,89,65
"Indole-3-carbinol","lenalidomide","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","TNFa",0,-0.528021658870955,89,98
"Indole-3-carbinol","nilutamide","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","androgen receptor",0,-0.491688373433493,89,77
"Indole-3-carbinol","pioglitazone","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","PPARg, agonist",0,-0.462376834777457,89,53
"Indole-3-carbinol","temozolomide","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","alkylating agent (tetrazine)",0,-0.451605894454734,89,75
"Indole-3-carbinol","tipifarnib","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","FTI",0,-0.539037235704672,89,72
"Indole-3-carbinol","vasastrol","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","KSP (Eg5, kinesin-5)",0,-0.579126505379612,89,67
"Indole-3-carbinol","vatalanib/PTK787","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","VEFGR (1-4), c-kit, PDGFb",0,-0.489962949095925,89,22
"Indole-3-carbinol","vorinostat/SAHA","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","HDAC",0,-0.51368883921002,89,96
"JNK5a","A769662","JNK","AMPK agonist",0,-0.444135701916881,86,76
"JNK5a","AS252424","JNK","PI3K (gamma)",0,-0.49316649604052,86,62
"JNK5a","AZD7762","JNK","Chk1/2",0,-0.52582413845089,86,27
"JNK5a","BID1870","JNK","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.446707698911401,86,45
"JNK5a","BMS536924","JNK","Multi (IGFR1R, InR, FAK)",0,-0.537308548774011,86,44
"JNK5a","CP690550","JNK","JAK3",0,-0.525433461134538,86,70
"JNK5a","Embelin","JNK","XIAP",0,-0.66281624732403,86,25
"JNK5a","GSK0660","JNK","PPARd, ant",0,-0.457406294761294,86,68
"JNK5a","GSK650394","JNK","SGK",0,-0.562294402526688,86,94
"JNK5a","GW0742","JNK","PPARd, agonist",0,-0.511018322172174,86,63
"JNK5a","GW2580","JNK","CSF1R/fms",0,-0.568090153959639,86,71
"JNK5a","GW441756","JNK","TrkA",0,-0.430389942531588,86,82
"JNK5a","GW9662","JNK","PPARg",0,-0.544762836911572,86,58
"JNK5a","HIF-1i","JNK","HIFa",0,-0.576765916672163,86,30
"JNK5a","JZL184","JNK","MAGL",0,-0.441619882947368,86,33
"JNK5a","KU55933","JNK","ATM",0,-0.44035055480519,86,46
"JNK5a","LFM-A13","JNK","BTK, Plk",0,-0.55612563086746,86,90
"JNK5a","PD173074","JNK","FGFR1/3",0,-0.423726794540809,86,91
"JNK5a","PF04217903","JNK","MET",0,-0.4126270895124,86,87
"JNK5a","QS11","JNK","ARFGAP",0,-0.785833620200815,86,28
"JNK5a","SU6656","JNK","Lyn/Src/Fyn/Yes",0,-0.608619687998885,86,52
"JNK5a","XAV939","JNK","tankyrase 1/2",0,-0.634161080241949,86,97
"JNK5a","cediranib/AZD2171","JNK","VEGFR (pan)",0,-0.515637546685811,86,73
"JNK5a","pioglitazone","JNK","PPARg, agonist",0,-0.462376834777457,86,53
"JNK5a","vasastrol","JNK","KSP (Eg5, kinesin-5)",0,-0.579126505379612,86,67
"JZL184","BID1870","MAGL","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.446707698911401,33,45
"JZL184","C75","MAGL","Fatty Acid Synthase",0,-0.465026949113321,33,47
"JZL184","GW441756","MAGL","TrkA",0,-0.441619882947368,33,82
"JZL184","KU55933","MAGL","ATM",0,-0.441619882947368,33,46
"JZL184","LSN415169","MAGL","gamma secretase",0,-0.498824910243877,33,84
"KU0063794","AS252424","mTOR kinase","PI3K (gamma)",0,-0.49316649604052,83,62
"KU0063794","C75","mTOR kinase","Fatty Acid Synthase",0,-0.465026949113321,83,47
"KU0063794","GW0742","mTOR kinase","PPARd, agonist",0,-0.511018322172174,83,63
"KU0063794","GW2580","mTOR kinase","CSF1R/fms",0,-0.568090153959639,83,71
"KU0063794","GW441756","mTOR kinase","TrkA",0,-0.430389942531588,83,82
"KU0063794","HIF-1i","mTOR kinase","HIFa",0,-0.576765916672163,83,30
"KU0063794","JZL184","mTOR kinase","MAGL",0,-0.441619882947368,83,33
"KU0063794","LFM-A13","mTOR kinase","BTK, Plk",0,-0.55612563086746,83,90
"KU0063794","PD173074","mTOR kinase","FGFR1/3",0,-0.423726794540809,83,91
"KU0063794","PIM-1 4a","mTOR kinase","PIM",0,-0.388093315950455,83,36
"KU0063794","T0901317","mTOR kinase","LXR",0,-0.518870965006205,83,56
"KU0063794","Tie2i","mTOR kinase","TIE_2",0,-0.570361695650041,83,48
"KU0063794","XAV939","mTOR kinase","tankyrase 1/2",0,-0.634161080241949,83,97
"KU55933","BID1870","ATM","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.446707698911401,46,45
"KU55933","PIM-1 4a","ATM","PIM",0,-0.44035055480519,46,36
"L779450","C75","Raf","Fatty Acid Synthase",0,-0.669127045821852,51,47
"L779450","Embelin","Raf","XIAP",0,-0.669127045821852,51,25
"L779450","JZL184","Raf","MAGL",0,-0.669127045821852,51,33
"L779450","KU55933","Raf","ATM",0,-0.669127045821852,51,46
"L779450","LFM-A13","Raf","BTK, Plk",0,-0.669127045821852,51,90
"L779450","LSN415169","Raf","gamma secretase",0,-0.669127045821852,51,84
"L779450","QS11","Raf","ARFGAP",0,-0.785833620200815,51,28
"L779450","TCS401","Raf","PTP-1B",0,-0.669127045821852,51,107
"L779450","XAV939","Raf","tankyrase 1/2",0,-0.669127045821852,51,97
"LFM-A13","AS252424","BTK, Plk","PI3K (gamma)",0,-0.55612563086746,90,62
"LFM-A13","Dorsomorphin","BTK, Plk","AMPK/BMP antagonist",0,-0.55612563086746,90,39
"LFM-A13","JZL184","BTK, Plk","MAGL",0,-0.55612563086746,90,33
"LFM-A13","KU55933","BTK, Plk","ATM",0,-0.55612563086746,90,46
"LFM-A13","LSN415169","BTK, Plk","gamma secretase",0,-0.55612563086746,90,84
"LFM-A13","Tie2i","BTK, Plk","TIE_2",0,-0.570361695650041,90,48
"LFM-A13","XAV939","BTK, Plk","tankyrase 1/2",0,-0.634161080241949,90,97
"LSN415169","BID1870","gamma secretase","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.498824910243877,84,45
"LSN415169","KU55933","gamma secretase","ATM",0,-0.498824910243877,84,46
"LSN415169","PIM-1 4a","gamma secretase","PIM",0,-0.498824910243877,84,36
"Lestaurtinib","A769662","Multi (Flt2, TrkA, RET, JAK2)","AMPK agonist",0,-0.444135701916881,101,76
"Lestaurtinib","AS252424","Multi (Flt2, TrkA, RET, JAK2)","PI3K (gamma)",0,-0.49316649604052,101,62
"Lestaurtinib","BID1870","Multi (Flt2, TrkA, RET, JAK2)","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.446707698911401,101,45
"Lestaurtinib","Bexarotene","Multi (Flt2, TrkA, RET, JAK2)","RXR",0,-0.679518810934286,101,29
"Lestaurtinib","C75","Multi (Flt2, TrkA, RET, JAK2)","Fatty Acid Synthase",0,-0.465026949113321,101,47
"Lestaurtinib","CHIR265","Multi (Flt2, TrkA, RET, JAK2)","Raf, VEGFR",0,-0.832256465467991,101,14
"Lestaurtinib","CP690550","Multi (Flt2, TrkA, RET, JAK2)","JAK3",0,-0.525433461134538,101,70
"Lestaurtinib","CX4945","Multi (Flt2, TrkA, RET, JAK2)","CK2a",0,-0.802363310480867,101,49
"Lestaurtinib","Crizotinib/PF2341066","Multi (Flt2, TrkA, RET, JAK2)","Multi (c-kit, ALK, MET)",0,-0.46082260765946,101,103
"Lestaurtinib","Darinaparsin","Multi (Flt2, TrkA, RET, JAK2)","arsenic",0,-0.425546167124012,101,60
"Lestaurtinib","Dorsomorphin","Multi (Flt2, TrkA, RET, JAK2)","AMPK/BMP antagonist",0,-0.44354847586109,101,39
"Lestaurtinib","ENMD2076","Multi (Flt2, TrkA, RET, JAK2)","Aurora A, FLT3, c-KIT, FGFR1/3",0,-0.576736968413919,101,106
"Lestaurtinib","EX527","Multi (Flt2, TrkA, RET, JAK2)","SIRT1",0,-0.498552331742665,101,100
"Lestaurtinib","GSK0660","Multi (Flt2, TrkA, RET, JAK2)","PPARd, ant",0,-0.457406294761294,101,68
"Lestaurtinib","GSK650394","Multi (Flt2, TrkA, RET, JAK2)","SGK",0,-0.562294402526688,101,94
"Lestaurtinib","GW0742","Multi (Flt2, TrkA, RET, JAK2)","PPARd, agonist",0,-0.511018322172174,101,63
"Lestaurtinib","GW2580","Multi (Flt2, TrkA, RET, JAK2)","CSF1R/fms",0,-0.568090153959639,101,71
"Lestaurtinib","GW441756","Multi (Flt2, TrkA, RET, JAK2)","TrkA",0,-0.430389942531588,101,82
"Lestaurtinib","GW9662","Multi (Flt2, TrkA, RET, JAK2)","PPARg",0,-0.544762836911572,101,58
"Lestaurtinib","HIF-1i","Multi (Flt2, TrkA, RET, JAK2)","HIFa",0,-0.576765916672163,101,30
"Lestaurtinib","Indole-3-carbinol","Multi (Flt2, TrkA, RET, JAK2)","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",0,-0.425546167124012,101,89
"Lestaurtinib","JNK5a","Multi (Flt2, TrkA, RET, JAK2)","JNK",0,-0.425546167124012,101,86
"Lestaurtinib","KU0063794","Multi (Flt2, TrkA, RET, JAK2)","mTOR kinase",0,-0.425546167124012,101,83
"Lestaurtinib","KU55933","Multi (Flt2, TrkA, RET, JAK2)","ATM",0,-0.44035055480519,101,46
"Lestaurtinib","Midostaurin/PKC412","Multi (Flt2, TrkA, RET, JAK2)","Multi (FLT3, KIT, etc., broad spectrum)",0,-0.792119284064938,101,15
"Lestaurtinib","NVP-BEZ235","Multi (Flt2, TrkA, RET, JAK2)","PI3K/TORC1/TORC2 dual specificity",0,-0.452586473723016,101,78
"Lestaurtinib","NVP-TAE684","Multi (Flt2, TrkA, RET, JAK2)","ALK",0,-0.715676933983988,101,40
"Lestaurtinib","PD173074","Multi (Flt2, TrkA, RET, JAK2)","FGFR1/3",0,-0.425546167124012,101,91
"Lestaurtinib","PF562271","Multi (Flt2, TrkA, RET, JAK2)","FAK1/2",0,-0.727355811461322,101,64
"Lestaurtinib","PIM-1 4a","Multi (Flt2, TrkA, RET, JAK2)","PIM",0,-0.425546167124012,101,36
"Lestaurtinib","PLX4720","Multi (Flt2, TrkA, RET, JAK2)","Raf (BRafV600E)",0,-0.583605551051689,101,79
"Lestaurtinib","QS11","Multi (Flt2, TrkA, RET, JAK2)","ARFGAP",0,-0.785833620200815,101,28
"Lestaurtinib","SNS314","Multi (Flt2, TrkA, RET, JAK2)","Aurora (pan)",0,-0.720665162247356,101,55
"Lestaurtinib","SU6656","Multi (Flt2, TrkA, RET, JAK2)","Lyn/Src/Fyn/Yes",0,-0.608619687998885,101,52
"Lestaurtinib","SrcI1","Multi (Flt2, TrkA, RET, JAK2)","Src",0,-0.691722081855255,101,18
"Lestaurtinib","T0901317","Multi (Flt2, TrkA, RET, JAK2)","LXR",0,-0.518870965006205,101,56
"Lestaurtinib","TCS401","Multi (Flt2, TrkA, RET, JAK2)","PTP-1B",0,-0.47739223071774,101,107
"Lestaurtinib","Tamatinib/R406","Multi (Flt2, TrkA, RET, JAK2)","Syk",0,-0.723583474317687,101,17
"Lestaurtinib","Tie2i","Multi (Flt2, TrkA, RET, JAK2)","TIE_2",0,-0.570361695650041,101,48
"Lestaurtinib","Veliparib/ABT888","Multi (Flt2, TrkA, RET, JAK2)","PARP",0,-0.488781056987276,101,81
"Lestaurtinib","Vismodegib/GDC0449","Multi (Flt2, TrkA, RET, JAK2)","Hh",0,-0.425546167124012,101,104
"Lestaurtinib","XAV939","Multi (Flt2, TrkA, RET, JAK2)","tankyrase 1/2",0,-0.634161080241949,101,97
"Lestaurtinib","XL147","Multi (Flt2, TrkA, RET, JAK2)","PI3K",0,-0.486144212447261,101,61
"Lestaurtinib","YM155","Multi (Flt2, TrkA, RET, JAK2)","survivin/BIRC5",0,-0.971240981170519,101,7
"Lestaurtinib","bivanib/BI2536","Multi (Flt2, TrkA, RET, JAK2)","Plk1",0,-0.972239456557059,101,8
"Lestaurtinib","cediranib/AZD2171","Multi (Flt2, TrkA, RET, JAK2)","VEGFR (pan)",0,-0.515637546685811,101,73
